horizon,lambda,k,p_path_count,p_empirical,p_rare_event_pmf,abs_diff_emp_vs_pc,abs_diff_pc_vs_rare
10000,100.0,27,2.6155059414504677e-18,0.0,3.416402403353199e-18,2.6155059414504677e-18,8.008964619027313e-19
10000,100.0,28,9.409971411923462e-18,0.0,1.2201437154832985e-17,9.409971411923462e-18,2.7914657429095228e-18
10000,100.0,29,3.268416402657496e-17,0.0,4.207392122356239e-17,3.268416402657496e-17,9.38975719698743e-18
10000,100.0,30,1.0972855202136639e-16,0.0,1.4024640407854027e-16,1.0972855202136639e-16,3.0517852057173885e-17
10000,100.0,31,3.564658402331019e-16,0.0,4.524077550920619e-16,3.564658402331019e-16,9.594191485896004e-17
10000,100.0,32,1.121719684746563e-15,0.0,1.4137742346627138e-15,1.121719684746563e-15,2.9205454991615084e-16
10000,100.0,33,3.422498260626563e-15,0.0,4.28416434746278e-15,3.422498260626563e-15,8.616660868362173e-16
10000,100.0,34,1.0134295948722316e-14,0.0,1.2600483374890232e-14,1.0134295948722316e-14,2.4661874261679153e-15
10000,100.0,35,2.914816549075553e-14,0.0,3.600138107111537e-14,2.914816549075553e-14,6.853215580359843e-15
10000,100.0,36,8.149872870761915e-14,0.0,1.0000383630865484e-13,8.149872870761915e-14,1.850510760103569e-14
10000,100.0,37,2.2169078156000586e-13,0.0,2.702806386720346e-13,2.2169078156000586e-13,4.858985711202874e-14
10000,100.0,38,5.871093186213824e-13,0.0,7.112648386106266e-13,5.871093186213824e-13,1.2415551998924417e-13
10000,100.0,39,1.5148363201559285e-12,0.0,1.8237559964375132e-12,1.5148363201559285e-12,3.0891967628158476e-13
10000,100.0,40,3.810425400320966e-12,0.0,4.559389991093917e-12,3.810425400320966e-12,7.489645907729504e-13
10000,100.0,41,9.350046067153029e-12,0.0,1.112046339291169e-11,9.350046067153029e-12,1.7704173257586604e-12
10000,100.0,42,2.2394687057351396e-11,0.0,2.6477293792646898e-11,2.2394687057351396e-11,4.082606735295502e-12
