horizon,x,empirical_density,analytical_cauchy_density_scale_n,abs_diff
10,295.0,3.2416060131791544e-05,3.653485063802476e-05,4.1187905062332165e-06
10,305.0,3.5455065769147004e-05,3.418092737544061e-05,1.274138393706395e-06
10,315.0,3.19095591922323e-05,3.204730794702146e-05,1.3774875478915689e-07
10,325.0,2.988355543399533e-05,3.0107343219086373e-05,2.2378778509104115e-07
10,335.0,3.2416060131791544e-05,2.8338293895730308e-05,4.0777662360612355e-06
10,345.0,3.494856482958776e-05,2.672066200913248e-05,8.227902820455281e-06
10,355.0,3.3429062010910026e-05,2.523765202646507e-05,8.191409984444956e-06
10,365.0,2.8364052615317598e-05,2.3874733634636468e-05,4.48931898068113e-06
10,375.0,2.1273039461488203e-05,2.261928485939177e-05,1.3462453979035666e-06
10,385.0,2.1779540401047444e-05,2.1460299085372707e-05,3.192413156747366e-07
10,395.0,2.1779540401047444e-05,2.038814323034688e-05,1.3913971707005645e-06
10,405.0,2.5325046977962145e-05,1.9394357117062648e-05,5.930689860899497e-06
10,415.0,1.924703570325123e-05,1.84714862140601e-05,7.755494891911295e-07
10,425.0,2.0260037582369714e-05,1.7612941551184987e-05,2.647096031184727e-06
10,435.0,1.7727532884573502e-05,1.681288187950829e-05,9.146510050652122e-07
10,445.0,1.4688527247218044e-05,1.606611412915032e-05,1.3775868819322753e-06
10,455.0,1.6208030065895772e-05,1.536800898895791e-05,8.400210769378622e-07
10,465.0,1.1649521609862585e-05,1.4714429038890129e-05,3.0649074290275436e-06
10,475.0,1.6714531005455013e-05,1.410166734671794e-05,2.612863658737073e-06
10,485.0,1.3169024428540315e-05,1.352639482349052e-05,3.573703949502051e-07
10,495.0,1.6208030065895772e-05,1.2985614938655407e-05,3.2224151272403653e-06
100,-4950.0,1.5697871672430992e-06,1.2985614938655407e-06,2.712256733775585e-07
100,-4850.0,1.1646808015029446e-06,1.3526394823490522e-06,1.8795868084610754e-07
100,-4750.0,1.7723403501131765e-06,1.410166734671794e-06,3.621736154413825e-07
100,-4650.0,1.3672339843730221e-06,1.4714429038890126e-06,1.042089195159905e-07
100,-4550.0,1.6204254629606186e-06,1.5368008988957908e-06,8.362456406482776e-08
