horizon,k,p_convolution_exact,p_convolution_empirical,p_path_count,abs_diff_exact,abs_diff_empirical
50,14,0.0008329742729351608,0.0007293116591449084,0.0008329742729351608,0.0,0.00010366261379025237
50,15,0.001999138255044386,0.0017714789435004695,0.001999138255044386,0.0,0.00022765931154391638
50,16,0.004373114932909594,0.003921892203260282,0.004373114932909594,0.0,0.0004512227296493126
50,17,0.008746229865819188,0.007938477980844755,0.008746229865819188,0.0,0.0008077518849744329
50,18,0.016034754754001845,0.014729577018113359,0.016034754754001845,0.0,0.0013051777358884867
50,19,0.027005902743582055,0.025107198102674214,0.027005902743582055,0.0,0.0018987046409078417
50,20,0.041859149252552186,0.03938596982042243,0.041859149252552186,0.0,0.0024731794321297546
50,21,0.05979878464650312,0.056944934807911726,0.05979878464650312,0.0,0.0028538498385913963
50,22,0.07882567067039048,0.07596998024904045,0.07882567067039048,0.0,0.0028556904213500323
50,23,0.09596168603351884,0.09360171479551095,0.09596168603351884,0.0,0.0023599712380078935
50,24,0.1079568967877087,0.1065731797986112,0.1079568967877087,0.0,0.0013837169890975054
50,25,0.11227517265921705,0.11217416864436519,0.11227517265921705,0.0,0.00010100401485185762
50,26,0.1079568967877087,0.1091619076538378,0.1079568967877087,0.0,0.0012050108661291054
50,27,0.09596168603351884,0.09820422901834192,0.09596168603351884,0.0,0.0022425429848230705
50,28,0.07882567067039048,0.08164161580290295,0.07882567067039048,0.0,0.0028159451325124735
50,29,0.05979878464650312,0.06268272535037285,0.05979878464650312,0.0,0.002883940703869728
50,30,0.041859149252552186,0.044407620917235976,0.041859149252552186,0.0,0.0025484716646837907
50,31,0.027005902743582055,0.028995954204413185,0.027005902743582055,0.0,0.00199005146083113
50,32,0.016034754754001845,0.017424191041975404,0.016034754754001845,0.0,0.001389436287973559
50,33,0.008746229865819188,0.009618841881229516,0.008746229865819188,0.0,0.0008726120154103276
50,34,0.004373114932909594,0.004867482360420973,0.004373114932909594,0.0,0.0004943674275113786
50,35,0.001999138255044386,0.00225199758762104,0.001999138255044386,0.0,0.00025285933257665396
50,36,0.0008329742729351608,0.0009496602838475713,0.0008329742729351608,0.0,0.00011668601091241048
50,37,0.0003151794546241149,0.00036366891722522144,0.0003151794546241149,0.0,4.848946260110654e-05
50,38,0.00010782455026614457,0.00012591501904774558,0.00010782455026614457,0.0,1.8090468781601005e-05
50,39,3.317678469727525e-05,3.921080611732922e-05,3.317678469727525e-05,0.0,6.0340214200539665e-06
50,40,9.123615791750694e-06,1.0913148402775781e-05,9.123615791750694e-06,0.0,1.7895326110250868e-06
50,41,2.2252721443294377e-06,2.6938772373736166e-06,2.2252721443294377e-06,0.0,4.686050930441789e-07
50,42,4.768440309277366e-07,5.842283344634646e-07,4.768440309277366e-07,0.0,1.0738430353572795e-07
50,43,8.871516854469519e-08,1.1000584052599231e-07,8.871516854469519e-08,0.0,2.129067198129712e-08
50,44,1.411377681392878e-08,1.7712207997622964e-08,1.411377681392878e-08,0.0,3.5984311836941843e-09
50,45,1.8818369085238373e-09,2.3901383293908385e-09,1.8818369085238373e-09,0.0,5.083014208670012e-10
50,46,2.0454749005693884e-10,2.6293403457343886e-10,2.0454749005693884e-10,0.0,5.838654451650001e-11
50,47,1.7408297026122455e-11,2.2647513915910735e-11,1.7408297026122455e-11,0.0,5.239216889788281e-12
50,48,1.0880185641326534e-12,1.4325577841678958e-12,1.0880185641326534e-12,0.0,3.445392200352424e-13
50,49,4.440892098500626e-14,5.917764262607903e-14,4.440892098500626e-14,0.0,1.4768721641072768e-14
50,50,8.881784197001252e-16,1.1978412169383402e-15,8.881784197001252e-16,0.0,3.09662797238215e-16
500,0,3.054936363499605e-151,1.5072814927402655e-152,3.054936363499605e-151,0.0,2.9042082142255782e-151
500,1,1.5274681817498023e-148,7.627390249983447e-150,1.5274681817498023e-148,0.0,1.4511942792499678e-148
500,2,3.811033113465757e-146,1.9260081192908407e-147,3.811033113465757e-146,0.0,3.618432301536673e-146
500,3,6.326314968353156e-144,3.235771145765525e-145,6.326314968353156e-144,0.0,6.002737853776604e-144
500,4,7.860446348178797e-142,4.068982215800145e-143,7.860446348178797e-142,0.0,7.453548126598782e-142
500,5,7.797562777393366e-140,4.0851598996199055e-141,7.797562777393366e-140,0.0,7.389046787431376e-140
500,6,6.432989291349527e-138,3.410944123430118e-139,6.432989291349527e-138,0.0,6.091894879006515e-138
500,7,4.539852442752381e-136,2.436212180736312e-137,4.539852442752381e-136,0.0,4.296231224678749e-136
500,8,2.7976840678461547e-134,1.5194402926730623e-135,2.7976840678461547e-134,0.0,2.6457400385788486e-134
500,9,1.5294006237558973e-132,8.406550544814641e-134,1.529400623755898e-132,6.256509672447191e-148,1.4453351183077516e-132
500,10,7.509357062641459e-131,4.1774466955825077e-132,7.509357062641459e-131,0.0,7.091612393083208e-131
500,11,3.345077236994833e-129,1.8833277612222794e-130,3.3450772369948315e-129,1.2813331809171846e-144,3.1567444608726034e-129
500,12,1.3631189740753942e-127,7.767211258292432e-129,1.3631189740753938e-127,4.100266178934991e-143,1.2854468614924694e-127
500,13,5.1169389180676334e-126,2.9508911071126664e-127,5.116938918067632e-126,1.312085177259197e-141,4.8218498073563654e-126
500,14,1.779963752213527e-124,1.0388807652909257e-125,1.7799637522135264e-124,6.298008850844146e-140,1.6760756756844338e-124
