horizon,k,p_path_count,p_empirical,abs_diff
50,214,0.00017004271856230072,0.00025,7.995728143769928e-05
50,215,0.00012848233378648307,0.00011,1.8482333786483062e-05
50,216,9.632305632208081e-05,8.5e-05,1.1323056322080802e-05
50,217,7.16460044771112e-05,6.5e-05,6.646004477111204e-06
50,218,5.2868983586767964e-05,7e-05,1.713101641323203e-05
50,219,3.870156339956452e-05,4e-05,1.2984366004354858e-06
50,220,2.8102489895544222e-05,2e-05,8.10248989554422e-06
50,221,2.024038896024781e-05,5e-06,1.524038896024781e-05
50,222,1.4458341772715112e-05,1.5e-05,5.416582272848881e-07
50,223,1.0242601208911857e-05,1.5e-05,4.757398791088143e-06
50,224,7.195474757093119e-06,0.0,7.195474757093119e-06
50,225,5.0122182534907405e-06,0.0,5.0122182534907405e-06
50,226,3.4616594089738287e-06,1e-05,6.538340591026173e-06
50,227,2.3701923288116154e-06,1e-05,7.629807671188386e-06
50,228,1.6087451662487597e-06,0.0,1.6087451662487597e-06
50,229,1.082313981255253e-06,5e-06,3.9176860187447475e-06
50,230,7.216687522218495e-07,0.0,7.216687522218495e-07
50,231,4.768652644406619e-07,0.0,4.768652644406619e-07
50,232,3.12233397718921e-07,0.0,3.12233397718921e-07
50,233,2.0255348683619849e-07,0.0,2.0255348683619849e-07
50,234,1.301744138789865e-07,0.0,1.301744138789865e-07
50,235,8.286742208490765e-08,0.0,8.286742208490765e-08
50,236,5.224670210996937e-08,0.0,5.224670210996937e-08
50,237,3.2620683877237844e-08,0.0,3.2620683877237844e-08
50,238,2.0166299970629602e-08,0.0,2.0166299970629602e-08
50,239,1.2342288243710313e-08,0.0,1.2342288243710313e-08
50,240,7.477149991103313e-09,0.0,7.477149991103313e-09
50,241,4.483108764992276e-09,0.0,4.483108764992276e-09
50,242,2.6598312882584784e-09,0.0,2.6598312882584784e-09
50,243,1.5612996304078509e-09,0.0,1.5612996304078509e-09
50,244,9.065633904359604e-10,0.0,9.065633904359604e-10
50,245,5.206054891977681e-10,0.0,5.206054891977681e-10
50,246,2.956195341756012e-10,0.0,2.956195341756012e-10
50,247,1.659520278641558e-10,0.0,1.659520278641558e-10
50,248,9.207974184381353e-11,0.0,9.207974184381353e-11
50,249,5.048708664631886e-11,0.0,5.048708664631886e-11
50,250,2.7348220609845425e-11,0.0,2.7348220609845425e-11
50,251,1.4631983338853245e-11,0.0,1.4631983338853245e-11
50,252,7.730188958746905e-12,0.0,7.730188958746905e-12
50,253,4.031544793490855e-12,0.0,4.031544793490855e-12
50,254,2.0750227523748094e-12,0.0,2.0750227523748094e-12
50,255,1.0536907497721961e-12,0.0,1.0536907497721961e-12
50,256,5.277208697554825e-13,0.0,5.277208697554825e-13
50,257,2.6058561644059533e-13,0.0,2.6058561644059533e-13
50,258,1.2682292823002668e-13,0.0,1.2682292823002668e-13
50,259,6.081119873007323e-14,0.0,6.081119873007323e-14
50,260,2.8716769224654665e-14,0.0,2.8716769224654665e-14
50,261,1.3349693740724108e-14,0.0,1.3349693740724108e-14
50,262,6.106566269162588e-15,0.0,6.106566269162588e-15
50,263,2.74730658585195e-15,0.0,2.74730658585195e-15
50,264,1.2150174853374183e-15,0.0,1.2150174853374183e-15
50,265,5.279465923420183e-16,0.0,5.279465923420183e-16
50,266,2.2525816983665646e-16,0.0,2.2525816983665646e-16
50,267,9.431658635157222e-17,0.0,9.431658635157222e-17
50,268,3.872822365964395e-17,0.0,3.872822365964395e-17
50,269,1.5584516894261816e-17,0.0,1.5584516894261816e-17
50,270,6.141249918457127e-18,0.0,6.141249918457127e-18
50,271,2.367903172212375e-18,0.0,2.367903172212375e-18
50,272,8.925505646894372e-19,0.0,8.925505646894372e-19
50,273,3.285868200060651e-19,0.0,3.285868200060651e-19
50,274,1.18023265056851e-19,0.0,1.18023265056851e-19
50,275,4.1314059106561916e-20,0.0,4.1314059106561916e-20
50,276,1.4076975663055994e-20,0.0,1.4076975663055994e-20
50,277,4.662520845549229e-21,0.0,4.662520845549229e-21
50,278,1.4989746605259783e-21,0.0,1.4989746605259783e-21
