horizon,k,p_empirical,p_hypergeometric,p_iid_path_count,abs_diff_emp_vs_hyper,abs_diff_emp_vs_iid
50,45,0.0,4.4494837072699033e-17,1.8818369085238733e-09,4.4494837072699033e-17,1.8818369085238733e-09
50,46,0.0,5.256951449987894e-19,2.0454749005694006e-10,5.256951449987894e-19,2.0454749005694006e-10
50,47,0.0,3.8076606247085104e-21,1.740829702612298e-11,3.8076606247085104e-21,1.740829702612298e-11
50,48,0.0,1.4873674315267398e-23,1.088018564132682e-12,1.4873674315267398e-23,1.088018564132682e-12
50,49,0.0,2.4779132553547546e-26,4.4408920985006716e-14,2.4779132553547546e-26,4.4408920985006716e-14
50,50,0.0,9.911653021418871e-30,8.881784197001244e-16,9.911653021418871e-30,8.881784197001244e-16
99,0,0.0,0.0,1.577721810442024e-30,0.0,1.577721810442024e-30
99,1,0.0,0.0,1.5619445923375437e-28,0.0,1.5619445923375437e-28
99,2,0.0,0.0,7.653528502454103e-27,0.0,7.653528502454103e-27
99,3,0.0,0.0,2.474640882460201e-25,0.0,2.474640882460201e-25
99,4,0.0,0.0,5.939138117904839e-24,0.0,5.939138117904839e-24
99,5,0.0,0.0,1.128436242401817e-22,0.0,1.128436242401817e-22
99,6,0.0,0.0,1.7678834464295877e-21,0.0,1.7678834464295877e-21
99,7,0.0,0.0,2.3487594359706842e-20,0.0,2.3487594359706842e-20
99,8,0.0,0.0,2.7010733513661472e-19,0.0,2.7010733513661472e-19
99,9,0.0,0.0,2.7310852774926102e-18,0.0,2.7310852774926102e-18
99,10,0.0,0.0,2.4579767497433375e-17,0.0,2.4579767497433375e-17
99,11,0.0,0.0,1.988726642974126e-16,0.0,1.988726642974126e-16
99,12,0.0,0.0,1.4583995381811487e-15,0.0,1.4583995381811487e-15
99,13,0.0,0.0,9.760058447826773e-15,0.0,9.760058447826773e-15
99,14,0.0,0.0,5.995464475094043e-14,0.0,5.995464475094043e-14
99,15,0.0,0.0,3.3974298692197577e-13,0.0,3.3974298692197577e-13
