horizon,k,p_convolution_exact,p_convolution_empirical,abs_diff
500,1933,1.033307877859006e-07,1.4687165628133044e-07,4.354086849542984e-08
500,1934,9.101478120825991e-08,1.2967156382611682e-07,3.865678261785691e-08
500,1935,8.01101812091595e-08,1.1440552795804893e-07,3.4295346748889425e-08
500,1936,7.046232901593535e-08,1.0086597139230863e-07,3.040364237637328e-08
500,1937,6.193265066608951e-08,8.886641169753362e-08,2.6933761031444114e-08
500,1938,5.439708580316603e-08,7.823945463596743e-08,2.3842368832801405e-08
500,1939,4.7744658362577626e-08,6.883496304529914e-08,2.1090304682721516e-08
500,1940,4.1876177611429824e-08,6.051838756576938e-08,1.864220995433956e-08
500,1941,3.670305880766433e-08,5.3169246410417946e-08,1.6466187602753615e-08
500,1942,3.214625350382e-08,4.667974223034253e-08,1.4533488726522531e-08
500,1943,2.8135280239969347e-08,4.0953504940379774e-08,1.2818224700410427e-08
500,1944,2.4607347049700993e-08,3.590445014383998e-08,1.1297103094138985e-08
500,1945,2.150655784331998e-08,3.145574352819778e-08,9.949185684877802e-09
500,1946,1.8783195334800628e-08,2.753886229754959e-08,8.755666962748962e-09
500,1947,1.6393073744636458e-08,2.4092745362959836e-08,7.699671618323378e-09
500,1948,1.4296955040864742e-08,2.1063024629455266e-08,6.766069588590524e-09
500,1949,1.2460022976545067e-08,1.84013302994393e-08,5.941307322894232e-09
500,1950,1.0851409645240823e-08,1.606466365784405e-08,5.2132540126032266e-09
500,1951,9.443769708022933e-09,1.4014831315657104e-08,4.5710616076341705e-09
500,1952,8.212897847641285e-09,1.2217935366860812e-08,4.005037519219527e-09
500,1953,7.137385379253431e-09,1.0643914360658504e-08,3.5065289814050733e-09
500,1954,6.198312293921639e-09,9.266130407522578e-09,3.0678181136009384e-09
500,1955,5.378971332433807e-09,8.060998125490301e-09,2.6820267930564945e-09
500,1956,4.664620984295112e-09,7.007651493667132e-09,2.3430305093720197e-09
500,1957,4.0422645813703366e-09,6.087645014483303e-09,2.0453804331129663e-09
500,1958,3.5004529089911496e-09,5.2846858962820595e-09,1.78423298729091e-09
500,1959,3.029107990697519e-09,4.58439425467042e-09,1.5552862639729015e-09
500,1960,2.6193659174328274e-09,3.974088596080434e-09,1.3547226786476068e-09
500,1961,2.2634367891855875e-09,3.4425940914805925e-09,1.179157302295005e-09
500,1962,1.9544800179443314e-09,2.9800713734143312e-09,1.0255913554699998e-09
500,1963,1.6864934065320886e-09,2.577863796753626e-09,8.913703902215372e-10
500,1964,1.454214569485928e-09,2.228361293922371e-09,7.741467244364431e-10
500,1965,1.253033400665027e-09,1.924879130000408e-09,6.71845729335381e-10
500,1966,1.0789144186741755e-09,1.6615500231486349e-09,5.826356044744594e-10
500,1967,9.28327936391922e-10,1.4332282422316355e-09,5.049003058397135e-10
500,1968,7.981891057550099e-10,1.2354044273384252e-09,4.372153215834153e-10
500,1969,6.858039842833596e-10,1.0641300010446577e-09,3.783260167612981e-10
500,1970,5.888218563927385e-10,9.159501496002941e-10,3.271282932075556e-10
500,1971,5.051931210471108e-10,7.878444545945308e-10,2.8265133354742e-10
500,1972,4.3313212841438396e-10,6.771743478245204e-10,2.440422194101364e-10
500,1973,3.710844125277977e-10,5.816366458080359e-10,2.1055223328023825e-10
500,1974,3.1769782509737113e-10,4.992224963179682e-10,1.8152467122059705e-10
500,1975,2.71797128097327e-10,4.281811381187801e-10,1.5638401002145314e-10
500,1976,2.3236165007281477e-10,3.669879373488013e-10,1.3462628727598655e-10
500,1977,1.9850565372198388e-10,3.1431622027322047e-10,1.1581056655123659e-10
500,1978,1.6946110064185423e-10,2.690124729468743e-10,9.955137230502006e-11
500,1979,1.445625335697277e-10,2.3007452415192954e-10,8.551199058220184e-11
500,1980,1.232338273661831e-10,1.966323692560505e-10,7.339854188986739e-11
500,1981,1.0497658770190528e-10,1.67931329780669e-10,6.295474207876371e-11
500,1982,8.936000123229744e-11,1.4331727685369194e-10,5.39572756213945e-11
500,1983,7.601196324908585e-11,1.222236766936345e-10,4.621171344454864e-11
500,1984,6.461132864125651e-11,1.0416024315190378e-10,3.9548914510647274e-11
500,1985,5.488114971089032e-11,8.870300641963708e-11,3.382185670874676e-11
500,1986,4.658278018452956e-11,7.548562855343054e-11,2.8902848368900976e-11
500,1987,3.9510738830388937e-11,6.419181573592638e-11,2.468107690553744e-11
500,1988,3.3488238611288175e-11,5.454869438673925e-11,2.1060455775451077e-11
500,1989,2.8363298431737017e-11,4.632103358106113e-11,1.795773514932411e-11
500,1990,2.4005364419396234e-11,3.9306209903686955e-11,1.530084548429072e-11
500,1991,2.0302376446758073e-11,3.332982303448141e-11,1.3027446587723336e-11
500,1992,1.715822336640164e-11,2.8241881181226623e-11,1.1083657814824983e-11
500,1993,1.4490537309180558e-11,2.391348508679223e-11,9.422947777611672e-12
500,1994,1.2228783475309991e-11,2.0233947865930012e-11,8.005164390620021e-12
500,1995,1.031260722009172e-11,1.710829548691402e-11,6.7956882668223e-12
500,1996,8.690404976791974e-12,1.4455099407864993e-11,5.764694431073019e-12
500,1997,7.318089738883799e-12,1.2204598799943216e-11,4.8865090610594175e-12
500,1998,6.158025505204387e-12,1.0297075023468053e-11,4.139049518263666e-12
500,1999,5.178108330751244e-12,8.681445643814158e-12,3.5033373130629137e-12
500,2000,4.35097447313314e-12,7.31404934938199e-12,2.9630748762488495e-12
500,2001,3.653318625043366e-12,6.157596724828681e-12,2.5042780997853147e-12
500,2002,3.0653074166503494e-12,5.180264993553816e-12,2.1149575769034665e-12
500,2003,2.5700752942719847e-12,4.354917622930193e-12,1.7848423286582083e-12
500,2004,2.1532915649669185e-12,3.658432127552913e-12,1.5051405625859942e-12
500,2005,1.8027888690703548e-12,3.0711215487859126e-12,1.2683326797155578e-12
500,2006,1.5082446293946526e-12,2.576236967840148e-12,1.0679923384454956e-12
500,2007,1.2609081491432033e-12,2.1595400554586363e-12,8.98631906315433e-13
500,2008,1.0533670103491433e-12,1.808936101538789e-12,7.555690911896456e-13
500,2009,8.79347278378375e-13,1.51415922715847e-12,6.348119487800951e-13
500,2010,7.33542761232327e-13,1.2665025812094871e-12,5.329598199771601e-13
500,2011,6.114692187451011e-13,1.058587283441424e-12,4.4711806469632296e-13
500,2012,5.093399783768454e-13,8.841647122396601e-13,3.7482473386281467e-13
500,2013,4.239599018120919e-13,7.379474639976405e-13,3.1398756218554865e-13
500,2014,3.5263506935668415e-13,6.154649448340039e-13,2.628298754773198e-13
