series,forecaster,rmse
S3: Random walk,YW-AR(2),1.0932059603235738
S3: Random walk,YW-AR(2),1.0612100022834798
S3: Random walk,YW-AR(2),1.0607191024371971
S3: Random walk,YW-AR(2),1.1017573698257461
S3: Random walk,YW-AR(2),1.0113725799988418
S3: Random walk,YW-AR(2),1.158820372255482
S3: Random walk,Naive,0.9865104797303144
S3: Random walk,Naive,0.9488114939837459
S3: Random walk,Naive,1.0279251716024
S3: Random walk,Naive,0.9522901774358988
S3: Random walk,Naive,1.015282105340717
S3: Random walk,Naive,1.035734826954712
S3: Random walk,Naive,1.0966680765274914
S3: Random walk,Naive,0.9635423179125444
S3: Random walk,Naive,1.0069719126623038
S3: Random walk,Naive,0.9969009624751183
S3: Random walk,Naive,0.8710644243274838
S3: Random walk,Naive,0.9904477343674399
S3: Random walk,Naive,1.0060691233609158
S3: Random walk,Naive,1.0813099503006387
S3: Random walk,Naive,1.045743258691278
S3: Random walk,Naive,1.0693895941897609
S3: Random walk,Naive,0.9953981904826328
S3: Random walk,Naive,1.0552714424903495
S3: Random walk,Naive,0.9948405585542021
S3: Random walk,Naive,0.9797730753077184
S4: AR(1) explosive,PT-univ,1.094254174768516
S4: AR(1) explosive,PT-univ,1.0809807946364098
S4: AR(1) explosive,PT-univ,0.9484448815743043
S4: AR(1) explosive,PT-univ,1.0136816393312318
S4: AR(1) explosive,PT-univ,1.1517988144841167
S4: AR(1) explosive,PT-univ,1.167762682877121
S4: AR(1) explosive,PT-univ,1.0690306601074873
S4: AR(1) explosive,PT-univ,0.9233271271549548
S4: AR(1) explosive,PT-univ,1.0301250859267603
S4: AR(1) explosive,PT-univ,1.0623466671468251
S4: AR(1) explosive,PT-univ,0.9850854093256283
S4: AR(1) explosive,PT-univ,1.1169087305322771
S4: AR(1) explosive,PT-univ,1.0727765826591529
S4: AR(1) explosive,PT-univ,1.113736162649994
S4: AR(1) explosive,PT-univ,0.9805078398574495
S4: AR(1) explosive,PT-univ,1.0358079713706343
S4: AR(1) explosive,PT-univ,1.1085662016480642
S4: AR(1) explosive,PT-univ,0.9698392810424676
S4: AR(1) explosive,PT-univ,1.1029800422188607
